Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes,,
wahlkreissiegerzweitstimmen,30,239,31,487,"129,07","0,000%","0,20439","0,05","0,04",227,,
wahlbeteiligung,95,360,33,729,"137,84","0,000%","0,5408","0,1","0,09",194,,
erststimmenpropartei,96,308,32,782,"148,63","0,000%","0,54635","0,57","0,1",1077,,"9066,66666666667"
knappstesieger,95,3070,201,4522,"932,37","0,000%","0,57002","30,19","0,09",54239,,"80556,7777777778"
direktmandat,89,192,33,702,"128,71","0,000%","0,51714","0,17","0,09",334,,
zweitstimmenpropartei,95,329,62,609,"101,81","0,000%","0,54238","1,78","0,1",3355,,
vergleichvorjahr zweit,91,2488,953,3372,"461,03","0,000%","0,5132","0,93","0,09",1863,,
ueberhangmandate,29,12616,5849,16277,"2531,43","0,000%","0,18768","0,43","0,03",2371,,
sitzverteilung,97,24641,16562,30860,"3477,54","0,000%","0,53119","0,46","0,08",891,,
vergleichvorjahr,117,50723,31116,58747,"4310,02","0,000%","0,52296","0,46","0,09",896,,
mitglieder bundestag,49,433708,365364,486068,"43079,25","0,000%","0,09341","11,73","0,01",128593,,
TOTAL,883,34632,31,486068,"98795,7","0,000%","1,68114","22,98","0,28","13998,2",,
