Label;# Samples;Average;Min;Max;Std. Dev.;Error %;Throughput;Received KB/sec;Sent KB/sec;Avg. Bytes
vergleichvorjahr zweit;25;231;64;546;"112;87";"0;000%";";14949";"0;27";"0;03";"1863;0"
wahlbeteiligung;25;62;18;163;"33;38";"0;000%";";15457";"0;03";"0;03";"194;0"
knappstesieger;20;372;92;761;"198;18";"0;000%";";16354";"8;66";"0;02";"54239;0"
direktmandat;25;39;13;78;"17;92";"0;000%";";16100";"0;05";"0;03";"334;0"
zweitstimmenpropartei;25;54;16;94;"18;75";"0;000%";";17447";"0;57";"0;03";"3355;0"
ueberhangmandate;10;1146;350;2148;"652;01";"0;000%";";07223";"0;17";"0;01";"2371;0"
sitzverteilung;25;2754;568;4900;"1441;49";"0;000%";";13997";"0;12";"0;02";"891;0"
erststimmenpropartei;25;54;18;173;"33;99";"0;000%";";16803";"0;18";"0;03";"1077;0"
vergleichvorjahr;25;4343;1030;6417;"2017;19";"0;000%";";14676";"0;13";"0;03";"896;0"
wahlkreissiegerzweitstimmen;10;38;17;55;"12;15";"0;000%";";07824";"0;02";"0;01";"227;0"
mitglieder bundestag;10;44440;15269;61536;"15750;28";"0;000%";";07776";"9;76";"0;01";"128593;0"
TOTAL;225;2898;13;61536;"9701;68";"0;000%";"1;25752";"14;26";"0;21";"11608;6"
